Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
Q61187;Tsg101;Tumor susceptibility gene 101 protein OS=Mus musculus OX=10090 GN=Tsg101 PE=1 SV=2;FALSE;Mouse;10;13;10;1;"cell differentiation;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;transport";"cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus";protein binding;22088;ENSMUSG00000014402.15;Endocytosis;;0;0.985;0.782599603;0.949043928;100.8;99.2;9.38;3.78;
Q61188;Ezh2;Histone-lysine N-methyltransferase EZH2 OS=Mus musculus OX=10090 GN=Ezh2 PE=1 SV=2;FALSE;Mouse;2;3;2;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytoplasm;nucleus";"catalytic activity;DNA binding;protein binding;RNA binding";14056;ENSMUSG00000029687.16;"MicroRNAs in cancer; Lysine degradation";PluriNetWork;0;1.026;0.73290706;0.941151206;98.7;101.3;22.05;3.42;
Q61189;Clns1a;Methylosome subunit pICln OS=Mus musculus OX=10090 GN=Clns1a PE=1 SV=1;FALSE;Mouse;4;15;4;1;"cell organization and biogenesis;cellular homeostasis;transport";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";"protein binding;RNA binding";12729;;;;0;1.084;0.433461046;0.884560905;95.9;104.1;5.05;14.98;
Q61191;Hcfc1;Host cell factor 1 OS=Mus musculus OX=10090 GN=Hcfc1 PE=1 SV=2;FALSE;Mouse;25;60;25;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;membrane;nucleus";"catalytic activity;protein binding";15161;ENSMUSG00000031386.14;Herpes simplex infection;"Mitochondrial Gene Expression; PluriNetWork";0;1.032;0.282219527;0.862578915;98.4;101.6;8.04;2.25;
Q61193;Rgl2;Ral guanine nucleotide dissociation stimulator-like 2 OS=Mus musculus OX=10090 GN=Rgl2 PE=1 SV=2;FALSE;Mouse;1;1;1;1;"regulation of biological process;response to stimulus";;;19732;ENSMUSG00000041354.15;Ras signaling pathway;;0;;;;;;;;
Q61194;Pik3c2a;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Mus musculus OX=10090 GN=Pik3c2a PE=1 SV=2;FALSE;Mouse;5;6;5;1;"cell communication;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;Golgi;membrane;nucleus";"catalytic activity;nucleotide binding;protein binding";18704;;"Metabolic pathways; Inositol phosphate metabolism; Phosphatidylinositol signaling system";"Regulation of Actin Cytoskeleton; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Insulin Signaling";0;0.871;0.665175709;0.926981189;106.9;93.1;19.39;16.74;
Q61205;Pafah1b3;Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus OX=10090 GN=Pafah1b3 PE=1 SV=1;FALSE;Mouse;4;10;4;1;metabolic process;"cytoplasm;cytosol;membrane";"catalytic activity;protein binding";18476;ENSMUSG00000005447.12;"Metabolic pathways; Ether lipid metabolism";;0;0.92;0.717524358;0.93721388;104.2;95.8;19.55;7.21;
Q61206;Pafah1b2;Platelet-activating factor acetylhydrolase IB subunit beta OS=Mus musculus OX=10090 GN=Pafah1b2 PE=1 SV=2;FALSE;Mouse;2;3;2;1;"cellular component movement;metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane";"catalytic activity;protein binding";18475;ENSMUSG00000003131.7;"Metabolic pathways; Ether lipid metabolism";;0;;;;;;;;
Q61207;Psap;Prosaposin OS=Mus musculus OX=10090 GN=Psap PE=1 SV=2;FALSE;Mouse;6;46;6;1;"cell differentiation;metabolic process;regulation of biological process;response to stimulus";"extracellular;mitochondrion;vacuole";"catalytic activity;enzyme regulator activity;protein binding";19156;ENSMUSG00000004207.14;Lysosome;;0;0.879;0.911111801;0.981696626;106.4;93.6;43.27;5.19;
Q61210;Arhgef1;Rho guanine nucleotide exchange factor 1 OS=Mus musculus OX=10090 GN=Arhgef1 PE=1 SV=2;FALSE;Mouse;10;15;10;1;regulation of biological process;"cytoplasm;cytosol;membrane";"enzyme regulator activity;protein binding;RNA binding";16801;ENSMUSG00000040940.18;"Regulation of actin cytoskeleton; Platelet activation; Proteoglycans in cancer; Pathways in cancer; Vascular smooth muscle contraction";"G13 Signaling Pathway; Regulation of Actin Cytoskeleton; G Protein Signaling Pathways";0;0.923;0.31135965;0.866856602;104;96;12.78;0.83;
Q61211;Eif2d;Eukaryotic translation initiation factor 2D OS=Mus musculus OX=10090 GN=Eif2d PE=1 SV=3;FALSE;Mouse;5;8;5;1;"cell organization and biogenesis;metabolic process";"cytoplasm;cytosol";"protein binding;RNA binding";16865;ENSMUSG00000026427.16;;mRNA processing;0;1.145;0.004653007;0.858136371;93.2;106.8;1.89;2.77;
Q61214;Dyrk1a;Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Mus musculus OX=10090 GN=Dyrk1a PE=1 SV=1;FALSE;Mouse;2;2;2;1;"metabolic process;regulation of biological process";nucleus;"catalytic activity;nucleotide binding;protein binding";13548;ENSMUSG00000022897.14;;Hedgehog Signaling Pathway;0;0.928;0.482930676;0.890336285;103.7;96.3;13.36;9.86;
Q61216;Mre11a;Double-strand break repair protein MRE11 OS=Mus musculus OX=10090 GN=Mre11 PE=1 SV=1;FALSE;Mouse;10;20;10;1;"cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus";"chromosome;cytoplasm;nucleus";"catalytic activity;DNA binding;metal ion binding;protein binding";17535;ENSMUSG00000031928.15;"Non-homologous end-joining; Homologous recombination";"Homologous recombination; miRNA regulation of DNA Damage Response; Non-homologous end joining";0;1.075;0.204136036;0.858136371;96.4;103.6;4.19;4.62;
Q61234;Snta1;Alpha-1-syntrophin OS=Mus musculus OX=10090 GN=Snta1 PE=1 SV=1;FALSE;Mouse;6;13;5;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton;membrane";"protein binding;structural molecule activity";20648;ENSMUSG00000027488.12;;;0;0.933;0.831039123;0.96316841;103.5;96.5;13.51;6;
Q61235;Sntb2;Beta-2-syntrophin OS=Mus musculus OX=10090 GN=Sntb2 PE=1 SV=2;FALSE;Mouse;8;23;6;1;;"cytoplasm;cytoskeleton;membrane";"protein binding;RNA binding;structural molecule activity";20650;ENSMUSG00000041308.6;;;2;0.958;0.991765702;0.998917519;102.1;97.9;10.46;9.61;
Q61239;Fnta;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Mus musculus OX=10090 GN=Fnta PE=1 SV=1;FALSE;Mouse;8;10;8;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;membrane";"catalytic activity;metal ion binding;protein binding";14272;ENSMUSG00000015994.10;Terpenoid backbone biosynthesis;;0;0.986;0.758641088;0.943564924;100.7;99.3;8.34;5.21;
Q61249;Igbp1;Immunoglobulin-binding protein 1 OS=Mus musculus OX=10090 GN=Igbp1 PE=1 SV=1;FALSE;Mouse;7;21;7;1;"regulation of biological process;response to stimulus";"cytoplasm;cytosol";"enzyme regulator activity;protein binding";18518;ENSMUSG00000031221.7;;;0;0.898;0.352247867;0.87501916;105.4;94.6;10.78;1.98;
Q61263;Soat1;Sterol O-acyltransferase 1 OS=Mus musculus OX=10090 GN=Soat1 PE=1 SV=2;FALSE;Mouse;3;4;3;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;transport";"endoplasmic reticulum;membrane";catalytic activity;20652;ENSMUSG00000026600.12;Steroid biosynthesis;Statin Pathway;0;0.832;0.609554073;0.91641776;109.2;90.8;21.24;2.59;
Q61286;Tcf12;Transcription factor 12 OS=Mus musculus OX=10090 GN=Tcf12 PE=1 SV=2;FALSE;Mouse;5;9;3;1;"cell differentiation;development;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;protein binding";21406;ENSMUSG00000032228.16;;Id Signaling Pathway;1;1.081;0.206720032;0.858136371;96.1;103.9;6.11;9.53;
Q61292;Lamb2;Laminin subunit beta-2 OS=Mus musculus OX=10090 GN=Lamb2 PE=1 SV=2;FALSE;Mouse;10;13;10;1;"cell differentiation;cell growth;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;transport";"cytoplasm;extracellular";protein binding;16779;ENSMUSG00000052911.9;"Focal adhesion; Toxoplasmosis; Small cell lung cancer; Pathways in cancer; ECM-receptor interaction; PI3K-Akt signaling pathway; Amoebiasis";"Inflammatory Response Pathway; Primary Focal Segmental Glomerulosclerosis FSGS; Alpha6-Beta4 Integrin Signaling Pathway; Focal Adhesion; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway";0;1.043;0.165227494;0.858136371;97.9;102.1;3.88;3.97;
Q61312;Tfap2c;Transcription factor AP-2 gamma OS=Mus musculus OX=10090 GN=Tfap2c PE=1 SV=2;FALSE;Mouse;1;1;1;1;"cell differentiation;cell proliferation;metabolic process;regulation of biological process";"mitochondrion;nucleus";"DNA binding;protein binding";21420;ENSMUSG00000028640.11;;PluriNetWork;0;1.115;0.097039935;0.858136371;94.6;105.4;9.36;10.01;
Q61316;Hspa4;Heat shock 70 kDa protein 4 OS=Mus musculus OX=10090 GN=Hspa4 PE=1 SV=1;FALSE;Mouse;40;259;37;1;"cell organization and biogenesis;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;nucleus";"nucleotide binding;protein binding";15525;;;;3;0.948;0.153218206;0.858136371;102.7;97.3;6.62;0.39;
Q61321;Six4;Homeobox protein SIX4 OS=Mus musculus OX=10090 GN=Six4 PE=1 SV=1;FALSE;Mouse;4;7;4;1;"cell differentiation;cell organization and biogenesis;cellular component movement;development;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;protein binding";20474;ENSMUSG00000034460.9;Transcriptional misregulation in cancer;;0;;;;;;;;
Q61329;Zfhx3;Zinc finger homeobox protein 3 OS=Mus musculus OX=10090 GN=Zfhx3 PE=1 SV=1;FALSE;Mouse;1;3;1;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;mitochondrion;nucleus";"DNA binding;metal ion binding;protein binding";11906;;;;0;;;;;;;;
Q61333;Tnfaip2;Tumor necrosis factor alpha-induced protein 2 OS=Mus musculus OX=10090 GN=Tnfaip2 PE=1 SV=2;FALSE;Mouse;1;1;1;1;"cell differentiation;development;transport";;protein binding;21928;ENSMUSG00000021281.15;;;0;;;;;;;;
Q61334;Bcap29;B-cell receptor-associated protein 29 OS=Mus musculus OX=10090 GN=Bcap29 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell death;cell differentiation;metabolic process;transport";"endoplasmic reticulum;membrane";"catalytic activity;DNA binding;nucleotide binding";12033;ENSMUSG00000020650.15;;;0;0.929;0.724143339;0.937272283;103.7;96.3;29.16;12.57;
Q61335;Bcap31;B-cell receptor-associated protein 31 OS=Mus musculus OX=10090 GN=Bcap31 PE=1 SV=4;FALSE;Mouse;8;41;8;1;"cell death;cellular homeostasis;regulation of biological process;response to stimulus;transport";"endoplasmic reticulum;membrane;mitochondrion";protein binding;27061;ENSMUSG00000002015.5;Protein processing in endoplasmic reticulum;;0;0.791;0.123861742;0.858136371;111.7;88.3;11.4;1.69;
Q61398;Pcolce;Procollagen C-endopeptidase enhancer 1 OS=Mus musculus OX=10090 GN=Pcolce PE=1 SV=2;FALSE;Mouse;7;15;7;1;"metabolic process;regulation of biological process";extracellular;"enzyme regulator activity;protein binding";18542;ENSMUSG00000029718.14;;mRNA processing;0;1.009;0.980304262;0.997773247;99.6;100.4;7.53;4.09;
Q61411;"Hras1; Hras";GTPase HRas OS=Mus musculus OX=10090 GN=Hras PE=1 SV=2;TRUE;Mouse;4;4;1;1;"cell death;cell organization and biogenesis;cell proliferation;defense response;regulation of biological process;response to stimulus;transport";"Golgi;membrane";"catalytic activity;nucleotide binding;protein binding";15461;ENSMUSG00000025499.18;"Oxytocin signaling pathway; ErbB signaling pathway; FoxO signaling pathway; Acute myeloid leukemia; AGE-RAGE signaling pathway in diabetic complications; Endocytosis; mTOR signaling pathway; Cholinergic synapse; T cell receptor signaling pathway; Phospholipase D signaling pathway; Regulation of actin cytoskeleton; MAPK signaling pathway; MicroRNAs in cancer; Ras signaling pathway; Prolactin signaling pathway; VEGF signaling pathway; Focal adhesion; Jak-STAT signaling pathway; Insulin signaling pathway; Endometrial cancer; Long-term potentiation; Chemokine signaling pathway; Breast cancer; Melanoma; Signaling pathways regulating pluripotency of stem cells; Melanogenesis; Hepatitis B; Axon guidance; HTLV-I infection; Non-small cell lung cancer; Longevity regulating pathway; Sphingolipid signaling pathway; B cell receptor signaling pathway; Proteoglycans in cancer; Thyroid hormone signaling pathway; Neurotrophin signaling pathway; Long-term depression; Rap1 signaling pathway; Pathways in cancer; Hepatitis C; Alcoholism; Thyroid cancer; PI3K-Akt signaling pathway; Renal cell carcinoma; GnRH signaling pathway; Tight junction; Natural killer cell mediated cytotoxicity; Gap junction; Glioma; Fc epsilon RI signaling pathway; EGFR tyrosine kinase inhibitor resistance; Central carbon metabolism in cancer; Choline metabolism in cancer; Estrogen signaling pathway; Viral carcinogenesis; Chronic myeloid leukemia; Serotonergic synapse; Longevity regulating pathway - multiple species; Prostate cancer; Endocrine resistance; Bladder cancer; Apoptosis";"IL-5 Signaling Pathway; Insulin Signaling; Chemokine signaling pathway; Estrogen signaling; ErbB signaling pathway; Kit Receptor Signaling Pathway; IL-3 Signaling Pathway; ESC Pluripotency Pathways; MAPK Cascade; Signaling of Hepatocyte Growth Factor Receptor; TGF Beta Signaling Pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Integrin-mediated Cell Adhesion; PluriNetWork; EGFR1 Signaling Pathway; IL-6 signaling Pathway; p38 MAPK Signaling Pathway; IL-7 Signaling Pathway; G Protein Signaling Pathways";0;1.024;0.970009275;0.996820378;98.8;101.2;7.98;15.89;
Q61425;Hadh;Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2;FALSE;Mouse;13;43;13;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;membrane;mitochondrion;organelle lumen";"catalytic activity;nucleotide binding";15107;ENSMUSG00000027984.8;"Fatty acid metabolism; Tryptophan metabolism; Valine, leucine and isoleucine degradation; Metabolic pathways; Lysine degradation; Fatty acid degradation; Butanoate metabolism; Fatty acid elongation";"Mitochondrial LC-Fatty Acid Beta-Oxidation; Tryptophan metabolism; Fatty Acid Beta Oxidation; Fatty Acid Biosynthesis";0;0.986;0.430735917;0.884560905;100.7;99.3;13.22;5.52;
Q61464;"Zfml; Zfp638";Zinc finger protein 638 OS=Mus musculus OX=10090 GN=Znf638 PE=1 SV=2;FALSE;Mouse;24;35;24;1;"metabolic process;regulation of biological process";nucleus;"DNA binding;metal ion binding;RNA binding";18139;;;mRNA processing;0;1.02;0.318123737;0.869561766;99;101;6.54;3.02;
Q61466;Smarcd1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Mus musculus OX=10090 GN=Smarcd1 PE=1 SV=3;FALSE;Mouse;4;8;1;1;"cell organization and biogenesis;regulation of biological process;response to stimulus";nucleus;"protein binding;structural molecule activity";83797;ENSMUSG00000023018.4;;;0;;;;;;;;
Q61490;Alcam;CD166 antigen OS=Mus musculus OX=10090 GN=Alcam PE=1 SV=3;FALSE;Mouse;5;9;5;1;"cell growth;cellular component movement;response to stimulus";membrane;protein binding;11658;ENSMUSG00000022636.13;Cell adhesion molecules (CAMs);;0;0.967;0.52995704;0.89784396;101.7;98.3;29.01;8.12;
Q61508;Ecm1;Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2;FALSE;Mouse;9;23;9;1;"defense response;regulation of biological process;response to stimulus";extracellular;"protein binding;signal transducer activity";13601;ENSMUSG00000028108.15;;;0;1.075;0.18596026;0.858136371;96.4;103.6;6.86;1.4;
Q61510;Trim25;E3 ubiquitin/ISG15 ligase TRIM25 OS=Mus musculus OX=10090 GN=Trim25 PE=1 SV=2;FALSE;Mouse;3;5;3;1;"defense response;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol";"catalytic activity;metal ion binding;protein binding;RNA binding";217069;ENSMUSG00000000275.16;"RIG-I-like receptor signaling pathway; Influenza A; NF-kappa B signaling pathway";;0;1.424;0.414191375;0.882388679;82.5;117.5;65.29;35.06;
Q61543;Glg1;Golgi apparatus protein 1 OS=Mus musculus OX=10090 GN=Glg1 PE=1 SV=1;FALSE;Mouse;15;50;15;1;regulation of biological process;"Golgi;membrane";protein binding;20340;ENSMUSG00000003316.14;Cell adhesion molecules (CAMs);TNF-alpha NF-kB Signaling Pathway;0;0.984;0.767258172;0.945057106;100.8;99.2;5.52;5.22;
Q61545;Ewsr1;RNA-binding protein EWS OS=Mus musculus OX=10090 GN=Ewsr1 PE=1 SV=2;FALSE;Mouse;5;28;5;1;"metabolic process;regulation of biological process";"cytoplasm;membrane;nucleus";"metal ion binding;protein binding;RNA binding";14030;ENSMUSG00000009079.16;Transcriptional misregulation in cancer;"PluriNetWork; mRNA processing";0;1.1;0.057567498;0.858136371;95.2;104.8;6.68;4.97;
Q61550;Rad21;Double-strand-break repair protein rad21 homolog OS=Mus musculus OX=10090 GN=Rad21 PE=1 SV=3;FALSE;Mouse;15;31;15;1;"cell death;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"chromosome;membrane;nucleus";protein binding;19357;ENSMUSG00000022314.9;Cell cycle;mRNA processing;0;1.083;0.682173245;0.930878699;96;104;9;4.14;
Q61553;Fscn1;Fascin OS=Mus musculus OX=10090 GN=Fscn1 PE=1 SV=4;FALSE;Mouse;20;197;20;1;"cell organization and biogenesis;cellular component movement;regulation of biological process";"cytoplasm;cytoskeleton;cytosol;membrane";"protein binding;RNA binding";14086;ENSMUSG00000029581.14;;;0;0.888;0.306488467;0.866856602;105.9;94.1;7.46;4.14;
Q61554;Fbn1;Fibrillin-1 OS=Mus musculus OX=10090 GN=Fbn1 PE=1 SV=2;FALSE;Mouse;2;3;2;1;"metabolic process;regulation of biological process;response to stimulus";"cell surface;extracellular;membrane";"metal ion binding;protein binding;structural molecule activity";14118;ENSMUSG00000027204.13;;;0;1.06;0.891743075;0.974461708;97.1;102.9;15.38;22.37;
Q61559;Fcgrt;IgG receptor FcRn large subunit p51 OS=Mus musculus OX=10090 GN=Fcgrt PE=1 SV=1;FALSE;Mouse;1;1;1;1;"regulation of biological process;response to stimulus";membrane;"protein binding;receptor activity;signal transducer activity";14132;ENSMUSG00000003420.8;;;0;0.942;0.941220324;0.98925223;103;97;20.53;11.26;
Q61572;Foxc1;Forkhead box protein C1 OS=Mus musculus OX=10090 GN=Foxc1 PE=1 SV=3;FALSE;Mouse;1;2;1;1;"cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus";"DNA binding;protein binding";17300;ENSMUSG00000050295.3;;"Heart Development; BMP Signaling Pathway in Eyelid Development";0;1.167;0.836894723;0.96420826;92.3;107.7;7.2;25.41;
Q61576;Fkbp10;Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Mus musculus OX=10090 GN=Fkbp10 PE=1 SV=2;FALSE;Mouse;16;98;15;1;"cell organization and biogenesis;metabolic process";"cytoplasm;endoplasmic reticulum;organelle lumen";"catalytic activity;metal ion binding;protein binding";14230;ENSMUSG00000001555.10;;;0;0.945;0.983996174;0.997783235;102.8;97.2;7.47;3.14;
Q61578;Fdxr;NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Mus musculus OX=10090 GN=Fdxr PE=1 SV=1;FALSE;Mouse;8;15;8;1;"metabolic process;transport";"membrane;mitochondrion;organelle lumen";"catalytic activity;nucleotide binding";14149;ENSMUSG00000018861.8;;;0;1.054;0.38795705;0.879342554;97.4;102.6;16.3;7.78;
Q61581;Igfbp7;Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=3;FALSE;Mouse;5;9;5;1;regulation of biological process;extracellular;protein binding;29817;;;;0;1.103;0.000526312;0.858136371;95.1;104.9;0.93;1.14;
